project_key,project_name,project_description,project_start_date,project_end_date,project_progress,project_parent,originating_department
e4f656b7-9c8e-4fa1-af6f-1c3719229008,Clear English,"Clear English

Final deliverable:
Standard Language",1/31/2026,8/21/2028,0,,PlanExe
9769e703-2f11-42a1-9749-fd72580b824f,Project Initiation and Planning,,1/31/2026,4/27/2026,0,e4f656b7-9c8e-4fa1-af6f-1c3719229008,PlanExe
49af8593-64b2-4c1f-a7e4-4a03a8a976ae,Secure Project Funding,,1/31/2026,3/4/2026,0,9769e703-2f11-42a1-9749-fd72580b824f,PlanExe
60f6c834-51ea-4f1a-b28e-5ec403593e6a,Identify potential funding sources,"Identify potential funding sources

Description:
Research and identify potential grant opportunities, investors, and other funding sources relevant to the Clear English project.

Resources needed:
• Funding and Licensing Manager
• Research Assistant",1/31/2026,2/8/2026,0,49af8593-64b2-4c1f-a7e4-4a03a8a976ae,PlanExe
ae3e308a-f02b-4a4a-9f73-b917d0bad6ab,Prepare grant proposals and applications,"Prepare grant proposals and applications

Description:
Develop compelling grant proposals and applications tailored to specific funding opportunities, highlighting the project's goals, impact, and sustainability.

Resources needed:
• Grant Writer
• Project Manager
• Linguistic Experts",2/8/2026,2/16/2026,0,60f6c834-51ea-4f1a-b28e-5ec403593e6a,PlanExe
5c9ba7d1-1dd5-42fa-8b93-ca818d1a8b1b,Engage with potential funders,"Engage with potential funders

Description:
Establish communication and build relationships with potential funders, presenting the Clear English project and addressing their questions and concerns.

Resources needed:
• Project Manager
• Funding and Licensing Manager
• Community Engagement Coordinator",2/16/2026,2/24/2026,0,ae3e308a-f02b-4a4a-9f73-b917d0bad6ab,PlanExe
89fb206a-34d4-4efb-86d7-456ec0bd79f9,Negotiate funding agreements,"Negotiate funding agreements

Description:
Negotiate the terms and conditions of funding agreements with successful applicants, ensuring alignment with the project's goals and objectives.

Resources needed:
• Legal Counsel
• Project Manager
• Funding and Licensing Manager",2/24/2026,3/4/2026,0,49af8593-64b2-4c1f-a7e4-4a03a8a976ae,PlanExe
c53e44f9-311a-46ee-8210-db2cefdf997b,Establish Editorial Board and Linguistic Review Process,,3/4/2026,3/20/2026,0,49af8593-64b2-4c1f-a7e4-4a03a8a976ae,PlanExe
991b80dc-5598-484a-aecc-b999f7c315e3,Identify Potential Board Members,"Identify Potential Board Members

Description:
Identify and research potential candidates for the editorial board, considering expertise, experience, and diversity.

Resources needed:
• Project Manager
• Linguist
• Researcher",3/4/2026,3/8/2026,0,c53e44f9-311a-46ee-8210-db2cefdf997b,PlanExe
294c11cf-2202-4e5e-9742-e62f9ca57804,Define Board Member Selection Criteria (1),"Define Board Member Selection Criteria

Description:
Establish clear and objective criteria for selecting editorial board members, including expertise in linguistics, education, and technical writing.

Resources needed:
• Project Manager
• Linguist
• Stakeholders",3/8/2026,3/12/2026,0,991b80dc-5598-484a-aecc-b999f7c315e3,PlanExe
676c332e-753b-410a-bdae-377b5d880a7b,Develop Review Process Documentation,"Develop Review Process Documentation

Description:
Create detailed documentation outlining the linguistic review process, including submission guidelines, review criteria, and decision-making protocols.

Resources needed:
• Technical Writer
• Linguist
• Project Manager",3/12/2026,3/16/2026,0,294c11cf-2202-4e5e-9742-e62f9ca57804,PlanExe
78cc8f71-3998-4184-bed6-75a3029349f4,Establish Communication Protocols (1),"Establish Communication Protocols

Description:
Define clear communication channels and protocols for the editorial board and linguistic review process, ensuring efficient and transparent communication.

Resources needed:
• Project Manager
• Communication Specialist",3/16/2026,3/20/2026,0,c53e44f9-311a-46ee-8210-db2cefdf997b,PlanExe
4544e20d-ecc8-400f-a048-bd05d0ce179b,Define Project Scope and Objectives,,3/20/2026,3/30/2026,0,c53e44f9-311a-46ee-8210-db2cefdf997b,PlanExe
c8a5782f-fcd0-45f5-86e5-d4191e029928,Identify Key Stakeholders (1),"Identify Key Stakeholders

Description:
Identify all individuals, groups, or organizations that have an interest in the project or may be affected by its outcome. This includes internal teams, external partners, regulatory bodies, and potential users of Clear English. Create a stakeholder register with contact information, roles, and levels of influence.

Resources needed:
• Project Manager
• Community Engagement Coordinator
• Stakeholder Analysis Template",3/20/2026,3/22/2026,0,4544e20d-ecc8-400f-a048-bd05d0ce179b,PlanExe
52e2d75b-b7b3-433e-a727-26aea22665b3,Define Project Goals and Objectives,"Define Project Goals and Objectives

Description:
Clearly articulate the overall goals of the Clear English project and break them down into specific, measurable, achievable, relevant, and time-bound (SMART) objectives. This includes defining the scope of linguistic changes, target audience, and desired outcomes. Document these goals and objectives in a project charter.

Resources needed:
• Lead Linguist
• Project Manager
• Editorial Board
• Project Charter Template",3/22/2026,3/24/2026,0,c8a5782f-fcd0-45f5-86e5-d4191e029928,PlanExe
7dda0192-5640-40da-ac93-7fe96564b9f7,Determine Project Deliverables,"Determine Project Deliverables

Description:
Identify the tangible outputs of the project, such as the Clear English standard, reference dictionary, style guide, pilot curriculum, and public licensing policy. Define the specifications and acceptance criteria for each deliverable. Create a deliverables register.

Resources needed:
• Project Manager
• Technical Writer
• Deliverables Register Template",3/24/2026,3/26/2026,0,52e2d75b-b7b3-433e-a727-26aea22665b3,PlanExe
511135ce-401a-4f9e-94bc-75de6ef2f83f,Establish Project Success Criteria,"Establish Project Success Criteria

Description:
Define the metrics that will be used to measure the success of the project, such as comprehension speed, ordinal error rate, pronunciation consistency, and learner retention. Establish baseline measurements and target values for each metric. Document the success criteria in the project charter.

Resources needed:
• Usability and Assessment Expert
• Project Manager
• Project Charter Template",3/26/2026,3/28/2026,0,7dda0192-5640-40da-ac93-7fe96564b9f7,PlanExe
9de97b06-84f8-44b3-91b3-fb1de379dfa2,Document Scope Assumptions and Constraints,"Document Scope Assumptions and Constraints

Description:
Identify any assumptions that are being made about the project scope, such as the availability of resources, the cooperation of stakeholders, or the stability of the linguistic landscape. Document any constraints that may limit the project scope, such as budget limitations, time constraints, or regulatory requirements. Create a scope management plan.

Resources needed:
• Project Manager
• Editorial Board
• Scope Management Plan Template",3/28/2026,3/30/2026,0,4544e20d-ecc8-400f-a048-bd05d0ce179b,PlanExe
8dd93a5f-dcd3-4aba-8b1f-7290ab964bb6,Develop Project Management Plan,,3/30/2026,4/9/2026,0,4544e20d-ecc8-400f-a048-bd05d0ce179b,PlanExe
90d91b6e-737c-4ed5-a899-bd204967cc6d,Define Project Scope Management Approach,"Define Project Scope Management Approach

Description:
Establish the methodology for managing the project's scope, including how changes will be handled and controlled.

Resources needed:
• Project Manager
• Stakeholders
• Business Analyst",3/30/2026,4/1/2026,0,8dd93a5f-dcd3-4aba-8b1f-7290ab964bb6,PlanExe
f2d93c92-679b-48fb-9dd3-4784fc3a3510,Create Project Schedule,"Create Project Schedule

Description:
Develop a detailed project schedule outlining all tasks, dependencies, and timelines using project management software.

Resources needed:
• Project Manager
• Project Team
• Project Management Software",4/1/2026,4/3/2026,0,90d91b6e-737c-4ed5-a899-bd204967cc6d,PlanExe
be42a9ff-bdf4-40d5-86fd-896fd549c0b2,Allocate Resources to Tasks,"Allocate Resources to Tasks

Description:
Assign specific resources (personnel, equipment, budget) to each task in the project schedule.

Resources needed:
• Project Manager
• Resource Manager
• Budgeting Tools",4/3/2026,4/5/2026,0,f2d93c92-679b-48fb-9dd3-4784fc3a3510,PlanExe
a0659513-715d-4000-9da7-6c248e9229ee,Establish Communication Plan,"Establish Communication Plan

Description:
Define how project information will be communicated to stakeholders, including frequency, channels, and responsible parties.

Resources needed:
• Project Manager
• Communication Specialist
• Stakeholders",4/5/2026,4/7/2026,0,be42a9ff-bdf4-40d5-86fd-896fd549c0b2,PlanExe
5ab57612-8034-42fe-beae-1839b8ccd64f,Document Project Management Processes,"Document Project Management Processes

Description:
Create documentation outlining all project management processes, including scope management, schedule management, resource allocation, and communication.

Resources needed:
• Project Manager
• Technical Writer
• Project Team",4/7/2026,4/9/2026,0,8dd93a5f-dcd3-4aba-8b1f-7290ab964bb6,PlanExe
d64071c7-3eae-4386-84d9-a33df37532ea,Conduct Stakeholder Analysis,,4/9/2026,4/17/2026,0,8dd93a5f-dcd3-4aba-8b1f-7290ab964bb6,PlanExe
cc2bc94b-223a-4a44-ba3d-168626b0793a,Identify Key Stakeholders (2),"Identify Key Stakeholders

Description:
Determine all individuals, groups, or organizations that have an interest in or may be affected by the Clear English project. This includes linguists, educators, technical writers, ESL publishers, standards organizations, and potential users.

Resources needed:
• Project Manager
• Community Engagement Coordinator
• Research Assistant",4/9/2026,4/11/2026,0,d64071c7-3eae-4386-84d9-a33df37532ea,PlanExe
0aa3e6f8-85dc-4578-984a-bd61575572e0,Assess Stakeholder Influence and Interest,"Assess Stakeholder Influence and Interest

Description:
Evaluate the level of influence and interest each stakeholder has in the project. This will help prioritize engagement efforts and tailor communication strategies to address their specific needs and concerns.

Resources needed:
• Project Manager
• Community Engagement Coordinator
• Stakeholder Analysis Template",4/11/2026,4/13/2026,0,cc2bc94b-223a-4a44-ba3d-168626b0793a,PlanExe
008e5902-880d-445b-b025-872a8fecf2fe,Develop Stakeholder Engagement Plan,"Develop Stakeholder Engagement Plan

Description:
Create a detailed plan outlining how to effectively engage with each stakeholder group throughout the project lifecycle. This includes defining communication channels, frequency of updates, and methods for gathering feedback.

Resources needed:
• Project Manager
• Community Engagement Coordinator
• Communication Specialist",4/13/2026,4/15/2026,0,0aa3e6f8-85dc-4578-984a-bd61575572e0,PlanExe
333d0d1e-6f8d-4b2a-8c4b-87cbc8485ac5,Document Stakeholder Requirements,"Document Stakeholder Requirements

Description:
Gather and document the specific requirements, expectations, and concerns of each stakeholder group. This information will be used to inform project decisions and ensure that the Clear English standard meets the needs of its intended users.

Resources needed:
• Project Manager
• Community Engagement Coordinator
• Technical Writer",4/15/2026,4/17/2026,0,d64071c7-3eae-4386-84d9-a33df37532ea,PlanExe
fc3ed79f-4391-4df9-8bbf-15f367948a5a,Perform Risk Assessment,,4/17/2026,4/27/2026,0,9769e703-2f11-42a1-9749-fd72580b824f,PlanExe
76e2efbe-2ab3-4fdf-9ad1-351bc2d24e9f,Identify Potential Risks,"Identify Potential Risks

Description:
Identify all potential risks that could impact the project, including technical, financial, and operational risks. This involves brainstorming sessions, reviewing project documentation, and consulting with subject matter experts.

Resources needed:
• Project Manager
• Subject Matter Experts
• Risk Management Specialist",4/17/2026,4/19/2026,0,fc3ed79f-4391-4df9-8bbf-15f367948a5a,PlanExe
a9d42da2-ba11-439c-9d26-23dc31691636,Assess Risk Probability and Impact,"Assess Risk Probability and Impact

Description:
Evaluate the likelihood of each identified risk occurring and the potential impact on the project's timeline, budget, and deliverables. This involves using qualitative and quantitative risk assessment techniques.

Resources needed:
• Project Manager
• Risk Management Specialist
• Data Analyst",4/19/2026,4/21/2026,0,76e2efbe-2ab3-4fdf-9ad1-351bc2d24e9f,PlanExe
5da9fc90-a252-41b7-b656-693fe4206dd7,Prioritize Risks,"Prioritize Risks

Description:
Rank the identified risks based on their probability and impact scores to determine which risks require the most attention and mitigation efforts. This involves creating a risk matrix and using a risk scoring system.

Resources needed:
• Project Manager
• Risk Management Specialist",4/21/2026,4/23/2026,0,a9d42da2-ba11-439c-9d26-23dc31691636,PlanExe
5fb29f61-0758-4d92-8a5e-23687284e9a7,Develop Mitigation Strategies,"Develop Mitigation Strategies

Description:
Develop specific mitigation strategies for each high-priority risk, outlining actions to reduce the likelihood or impact of the risk. This involves brainstorming potential solutions, evaluating their feasibility, and documenting the chosen strategies.

Resources needed:
• Project Manager
• Subject Matter Experts
• Risk Management Specialist",4/23/2026,4/25/2026,0,5da9fc90-a252-41b7-b656-693fe4206dd7,PlanExe
5c38238f-8b0c-4f9f-90d3-a07c68f22540,Document Risk Assessment Results,"Document Risk Assessment Results

Description:
Document the entire risk assessment process, including the identified risks, their probability and impact scores, prioritization, and mitigation strategies. This involves creating a risk register and maintaining it throughout the project lifecycle.

Resources needed:
• Project Manager
• Risk Management Specialist
• Technical Writer",4/25/2026,4/27/2026,0,fc3ed79f-4391-4df9-8bbf-15f367948a5a,PlanExe
3bb43e3e-050d-4565-9354-e6f60b5c1016,Linguistic Rule Design and Corpus Creation,,4/27/2026,4/29/2027,0,9769e703-2f11-42a1-9749-fd72580b824f,PlanExe
7d0093c2-9805-4431-8359-1ab0900bbff3,Define Rules for Ordinals,,4/27/2026,5/13/2026,0,3bb43e3e-050d-4565-9354-e6f60b5c1016,PlanExe
9c715326-120e-42be-9e16-084c8f62d583,Research ordinal usage in English,"Research ordinal usage in English

Description:
Analyze how ordinals are currently used in various contexts (written, spoken, formal, informal) to identify inconsistencies and patterns.

Resources needed:
• Linguists
• Corpus linguist
• Data analyst",4/27/2026,5/1/2026,0,7d0093c2-9805-4431-8359-1ab0900bbff3,PlanExe
88ce8056-4230-4792-baa4-9aaff59323d9,Develop initial ordinal rule proposals,"Develop initial ordinal rule proposals

Description:
Based on the research, create several potential rule sets for standardizing ordinals in Clear English, considering simplicity, consistency, and intelligibility.

Resources needed:
• Linguists
• Editorial board",5/1/2026,5/5/2026,0,9c715326-120e-42be-9e16-084c8f62d583,PlanExe
13317444-9cbe-4ddc-a5e7-140ca49184b4,Evaluate rule proposals for clarity,"Evaluate rule proposals for clarity

Description:
Assess the clarity and ease of understanding of each rule set through cognitive testing and expert review, focusing on potential ambiguities and edge cases.

Resources needed:
• Usability testers
• ESL educators
• Linguists",5/5/2026,5/9/2026,0,88ce8056-4230-4792-baa4-9aaff59323d9,PlanExe
3619a651-efa9-479f-92c2-148735950ac2,Refine and finalize ordinal rules,"Refine and finalize ordinal rules

Description:
Incorporate feedback from the evaluation phase to refine the most promising rule set, ensuring it aligns with the overall goals of Clear English and is readily understandable.

Resources needed:
• Linguists
• Editorial board
• Technical writer",5/9/2026,5/13/2026,0,7d0093c2-9805-4431-8359-1ab0900bbff3,PlanExe
8ab857b9-eb5e-4e10-9838-1bfca16aee58,Define Rules for Spelling-to-Sound,,5/13/2026,6/12/2026,0,7d0093c2-9805-4431-8359-1ab0900bbff3,PlanExe
c2fd3a0c-adf8-4371-a5e0-169b987b3036,Research existing English phonetic systems,"Research existing English phonetic systems

Description:
Objective: Thoroughly investigate established phonetic systems used for English. Scope: Review IPA, ARPABET, and other relevant systems. Steps: Literature review, online research, expert consultation. Deliverables: Summary report of findings.

Resources needed:
• Linguist
• Phonetician
• Research assistant",5/13/2026,5/19/2026,0,8ab857b9-eb5e-4e10-9838-1bfca16aee58,PlanExe
a3876607-9ff3-43d4-9eee-26e79e8e9e95,Analyze spelling-to-sound inconsistencies,"Analyze spelling-to-sound inconsistencies

Description:
Objective: Identify and categorize common inconsistencies in English spelling-to-sound correspondences. Scope: Focus on frequently occurring exceptions and ambiguous cases. Steps: Corpus analysis, rule extraction, exception listing. Deliverables: Database of inconsistencies.

Resources needed:
• Corpus linguist
• Data analyst
• Computational linguist",5/19/2026,5/25/2026,0,c2fd3a0c-adf8-4371-a5e0-169b987b3036,PlanExe
d56d6344-7b00-4bb2-a7ce-4272934447d3,Develop Clear English phonetic rules,"Develop Clear English phonetic rules

Description:
Objective: Create a set of consistent and unambiguous spelling-to-sound rules for Clear English. Scope: Cover all common English phonemes and graphemes. Steps: Rule design, testing, refinement. Deliverables: Rule set document.

Resources needed:
• Linguist
• Phonetician
• ESL educator",5/25/2026,5/31/2026,0,a3876607-9ff3-43d4-9eee-26e79e8e9e95,PlanExe
e01cb5f2-4921-4dac-a151-d1ae748344e3,Test rules with text-to-speech engine,"Test rules with text-to-speech engine

Description:
Objective: Evaluate the effectiveness of the Clear English phonetic rules using a text-to-speech engine. Scope: Assess pronunciation accuracy and naturalness. Steps: Rule implementation, text input, audio output analysis. Deliverables: Evaluation report.

Resources needed:
• Technical writer
• Software developer
• Usability tester",5/31/2026,6/6/2026,0,d56d6344-7b00-4bb2-a7ce-4272934447d3,PlanExe
8d1bac09-df9b-4ef8-955f-29b075ca8719,Refine rules based on testing feedback,"Refine rules based on testing feedback

Description:
Objective: Improve the Clear English phonetic rules based on the results of text-to-speech testing and expert feedback. Scope: Address identified errors and inconsistencies. Steps: Rule revision, re-testing, validation. Deliverables: Final rule set.

Resources needed:
• Linguist
• Phonetician
• ESL educator",6/6/2026,6/12/2026,0,8ab857b9-eb5e-4e10-9838-1bfca16aee58,PlanExe
eaaadbd7-1bfc-4201-b123-695064d02b4c,Define Rules for Morphology,,6/12/2026,7/18/2026,0,8ab857b9-eb5e-4e10-9838-1bfca16aee58,PlanExe
f19a356f-14a0-4861-866b-89d480bde365,Identify Irregular Verbs and Nouns,"Identify Irregular Verbs and Nouns

Description:
Objective: Identify common irregular verbs and nouns in English.
Scope: Focus on the most frequently used irregular forms.
Steps: Analyze a corpus of English text, consult linguistic resources, and create a list of target words.
Deliverables: A comprehensive list of irregular verbs and nouns.

Resources needed:
• Linguist
• Corpus Linguistics Software
• English Dictionaries",6/12/2026,6/21/2026,0,eaaadbd7-1bfc-4201-b123-695064d02b4c,PlanExe
d1685d88-2f9f-4ff2-b345-1d08d92192be,Develop Regularization Rules (1),"Develop Regularization Rules

Description:
Objective: Create rules for regularizing irregular verbs and nouns.
Scope: Ensure rules are consistent and easy to apply.
Steps: Define rules for verb conjugation and noun pluralization, test rules on sample texts, and refine rules based on feedback.
Deliverables: A set of clear and consistent regularization rules.

Resources needed:
• Linguist
• Technical Writer
• Rule Engine Software",6/21/2026,6/30/2026,0,f19a356f-14a0-4861-866b-89d480bde365,PlanExe
9e006ae9-e458-422c-9dac-5216bdf5a959,Assess Impact on Intelligibility (1),"Assess Impact on Intelligibility

Description:
Objective: Evaluate the impact of regularization on language comprehension.
Scope: Measure comprehension levels of regularized vs. irregular forms.
Steps: Conduct comprehension tests with native and non-native speakers, analyze test results, and identify potential issues.
Deliverables: A report on the impact of regularization on intelligibility.

Resources needed:
• Usability Tester
• Assessment Specialist
• Test Participants",6/30/2026,7/9/2026,0,d1685d88-2f9f-4ff2-b345-1d08d92192be,PlanExe
df8c5902-acda-4e9a-b3e9-aea52ac4b85e,Refine Rules Based on Feedback (1),"Refine Rules Based on Feedback

Description:
Objective: Improve regularization rules based on intelligibility testing.
Scope: Address issues identified in the intelligibility assessment.
Steps: Revise rules based on test results, conduct further testing, and finalize the regularization rules.
Deliverables: Finalized set of morphological regularization rules.

Resources needed:
• Linguist
• Usability Tester
• Assessment Specialist",7/9/2026,7/18/2026,0,eaaadbd7-1bfc-4201-b123-695064d02b4c,PlanExe
11bfab37-4e4c-48d9-9986-aa5ad813bd0c,Define Rules for Homographs,,7/18/2026,8/15/2026,0,eaaadbd7-1bfc-4201-b123-695064d02b4c,PlanExe
68be392e-9957-401d-af25-994d9c2ed23f,Identify Irregular Morphology Patterns,"Identify Irregular Morphology Patterns

Description:
Identify common irregular verb conjugations and noun pluralizations to target for regularization.

Resources needed:
• Linguist
• Corpus Linguist",7/18/2026,7/25/2026,0,11bfab37-4e4c-48d9-9986-aa5ad813bd0c,PlanExe
a2b62b11-e700-48a1-bf19-348709ab3bfa,Develop Regularization Rules (2),"Develop Regularization Rules

Description:
Create rules for regularizing identified irregular forms, ensuring consistency and intelligibility.

Resources needed:
• Linguist
• Technical Writer",7/25/2026,8/1/2026,0,68be392e-9957-401d-af25-994d9c2ed23f,PlanExe
bdfaeb94-86fe-4c91-98c0-36fce8a10bc8,Assess Impact on Intelligibility (2),"Assess Impact on Intelligibility

Description:
Evaluate the impact of regularization rules on the comprehension and naturalness of the language.

Resources needed:
• Linguist
• ESL Educator
• Usability Tester",8/1/2026,8/8/2026,0,a2b62b11-e700-48a1-bf19-348709ab3bfa,PlanExe
61880f57-3c80-4e88-969a-c4ad25b62de4,Refine Rules Based on Feedback (2),"Refine Rules Based on Feedback

Description:
Adjust regularization rules based on feedback from linguists, educators, and usability testers.

Resources needed:
• Linguist
• Technical Writer",8/8/2026,8/15/2026,0,11bfab37-4e4c-48d9-9986-aa5ad813bd0c,PlanExe
1d00592c-5925-4799-92b2-4a0ed96fa3c9,Develop Reference Corpus,,8/15/2026,11/15/2026,0,11bfab37-4e4c-48d9-9986-aa5ad813bd0c,PlanExe
